unemployment,cpi,gdp,dff,consumer
,,,2.13,
,,,1.25,
,,,1.0,
,,,1.0,
,,,1.0,
,,,1.5,
,,,1.63,
,,,1.63,
,,,1.5,
,,,1.63,
,,,1.63,
,,,1.63,
,,,1.63,
,,,0.5,
,,,0.25,
7.4,28.94,,0.75,80.9
,,,1.25,
,,,1.25,
,,,1.25,
,,,1.25,
,,,1.0,
,,,1.0,
,,,1.25,
,,,1.25,
,,,1.25,
,,,1.25,
,,,1.25,
,,,0.25,
,,,0.13,
,,,0.5,
,,,0.63,
,,,0.63,
,,,0.63,
,,,0.38,
,,,0.25,
,,,0.25,
,,,0.25,
,,,0.25,
,,,0.25,
,,,0.25,
,,,0.13,
,,,0.13,
,,,0.13,
,,,0.13,
,,,0.13,
,,,0.13,
7.3,28.91,,0.13,
,,,0.25,
,,,1.0,
,,,0.5,
,,,1.25,
,,,1.5,
,,,1.5,
,,,1.5,
,,,1.63,
,,,1.63,
,,,0.75,
,,,1.25,
,,,1.63,
,,,1.63,
,,,1.63,
,,,1.63,
,,,1.25,
,,,0.5,
,,,0.75,
,,,0.75,
,,,0.75,
,,,0.75,
,,,0.5,
,,,0.25,
,,,0.5,
,,,0.5,
,,,0.5,
,,,0.5,
,,,0.5,
,,,0.5,
7.5,28.89,485.841,0.25,
,,,0.25,
,,,0.75,
,,,0.75,
,,,0.75,
,,,0.75,
,,,1.25,
,,,0.63,
,,,0.5,
,,,1.25,
,,,1.63,
,,,1.63,
,,,1.63,
,,,1.63,
,,,1.0,
,,,0.5,
,,,0.75,
,,,0.5,
,,,0.5,
,,,0.5,
,,,0.38,
,,,0.25,
,,,0.25,
,,,0.5,
,,,0.5,
,,,0.5,
,,,0.5,
,,,0.25,
,,,0.13,
,,,0.13,
,,,0.38,
7.4,28.94,,1.0,
,,,1.0,
,,,1.0,
,,,1.0,
,,,0.75,
,,,1.25,
,,,1.63,
,,,1.63,
,,,1.63,
,,,1.63,
,,,1.75,
,,,1.63,
,,,1.5,
,,,1.63,
,,,1.75,
,,,1.75,
,,,1.75,
,,,1.75,
,,,1.38,
,,,1.25,
,,,1.75,
,,,1.75,
,,,1.75,
,,,1.75,
,,,1.75,
,,,1.75,
,,,1.25,
,,,1.75,
,,,1.75,
,,,1.75,
,,,1.75,
7.1,28.91,,1.75,
,,,1.75,
,,,1.25,
,,,1.75,
,,,1.75,
,,,1.75,
,,,1.75,
,,,1.75,
,,,1.25,
,,,1.75,
,,,1.75,
,,,2.0,
,,,2.0,
,,,2.0,
,,,1.75,
,,,1.13,
,,,0.75,
,,,2.0,
,,,2.0,
,,,2.0,
,,,2.0,
,,,1.88,
,,,1.75,
,,,1.75,
,,,2.0,
,,,2.0,
,,,2.0,
,,,2.0,
,,,2.0,
,,,1.5,
